Acacia	Acalypha	Acanthaceae undiff.	Aciotis	Aegiphila	Alchornea	Allophylus	Alnus	Alternanthera	Amaranthaceae undiff.	Amaryllidaceae	Ambrosia	Anacardium	Anthodon	Apiaceae	Apocynaceae undiff.	Araliaceae undiff.	Arecaceae	Asteraceae subf. Asteroideae undiff.	Asteraceae subf. Cichorioideae	Banara	Begonia	Bignoniaceae undiff.	Blepharandra	Borreria	Brassicaceae	Brosimum	Bursera	Buxus	Byrsonima	Cactaceae	Caesalpinia	Caryocar	Caryodendron	Casearia	Cassia	Cayaponia	Cecropia	Celtis	Centropogon	Cissus	Combretum	Commiphora	Connarus	Convolvulaceae undiff.	Cordia	Croton	Cucurbitaceae undiff.	Cupania	Cyperaceae	Dalbergia	Dalea	Dendropanax	Dodonaea	Doliocarpus	Drymaria	Ericaceae undiff.	Eugenia	Euphorbiaceae undiff.	Fabaceae undiff.	Faramea	Ficus	Genipa	Gouania	Guettarda	Gustavia	Gymnanthes	Hedyosmum	Heisteria	Hevea	Hieronyma	Hymenaea	Hyptis	Ilex	Inga	Iresine	Juglans	Justicia	Lamiaceae undiff.	Lauraceae	Licania	Liliaceae	Lindernia	Liquidambar	Loranthaceae	Loxopterygium	Ludwigia	Machaerium	Malpighiaceae undiff.	Malvaceae subf. Bombacoideae	Malvaceae subf. Tilioideae undiff.	Malvaceae undiff.	Mandevilla	Maripa	Mecardonia	Melastomataceae undiff.	Meliaceae undiff.	Mimosa	Moraceae undiff.	Myrica	Myrsine	Myrtaceae undiff.	Olacaceae undiff.	Oxalidaceae	Passiflora	Paullinia	Peltogyne	Petiveria	Phyllanthus	Physalis	Picea	Pinus	Piper	Poaceae undiff.	Polygala	Polygonum	Portulacaceae	Prestonia	Protium	Psychotria	Pteridophyta	Pterocarpus	Quercus	Rheedia	Rubiaceae undiff.	Sabiaceae	Sagittaria	Salvia	Sapium	Sapotaceae	Schinus	Scoparia	Sebastiania	Serjania	Sicydium	Siparuna	Siphocampylus	Solanum	Spondias	Stemodia	Strychnos	Syngonium	Tabebuia	Tanaecium	Theobroma	Tournefortia	Tovomita	Toxicodendron	Trema	Trichanthera	Trichilia	Triplaris	Typha	Ulmus	Unknown (big-walled)	Unknown (type A)	Unknown (type C)	Unknown (type I)	Unknown (type II)	Unknown (type XX)	Unknown Z	Virola	Vismia	Vitex	Vitis	Zanthoxylum	Zea	aff. Astronium	aff. Casuarina	aff. Colubrina	aff. Dalechampia	aff. Fissicalyx	aff. Gaylussacia	aff. Malvaceae	aff. Melanoxylon	aff. Posoqueria	aff. Trichilia	aff. Triumfetta
1					1		6			1	4							4			2	1		1	1		6		4	1	3				5			13					5	6		3			86				1				2		4		1	2									4	1		1		1						3	2				4	1							7	1		18	2	1	1				2						137		53			2		2		3		225			2			31					1					2										9				7	6												2			3									
10						1	5		1	1	2							5			5			2	2	3	3		4		13						1	8	2				3	5		2			138				3				13				2						1			2				1								1	2			1	3								11		6	18	4		5		3								85		24			5		1		2		156						15	1								1	9								1		6					6										4		2												
2							5	1	1		8							3	1		3	1		1				3	3		6				2			13					3	8	1	6			112						1		1		2			1									3	1		1								4	1				2	1							6			2	3	2											86		47					4		9		237			2			30					2					3						1				2				1	4										1		2			5									
6					1		1				4							10			10	1		1		1			4		6				4			13	1				11	4	1	5			139				1				11		2		2	2									1					1						6	2					2							9	1	1	12			3				1						121		66					3		3		210						17					1					3										11				3	1										2					2									
2					1		3				3							10			4	3				3	4		7		11				4		1		1	1						4			46								10				18	1			2									1	2									1				1		2		4			6	1	1	10	1	2	1		1		1						97		33			3		5		3		141						13									2	1										8				2	3										7		3												
4							3	1			4							12			7	1		1			6	1	3		8				2			9	1				5	5	1	5			210								9							1			3				1				3							10	2	1				1							2	1		1	1		1				1						162		83			1		4		5	1	207						13	1									4										8				2	2												1			5									
2							5	1	1	1	10							8			10					4	1				15							4			2								107								3				4	1					7				9		2		2	1							4			1	1			1					9			30	1	7					1						64		20			2		1		6		109				5												19										6					2										5														
1							9				2			1				8			16					1	3				20							7								2			213							2	11				5						3			1	19		1		1	1							1			2	1		1						6		2	37	5		1										71		6			6		4		5		92		2		3												8										1					2										5														
4	1						7	1			8							16			12			4		6	2				12	1						16					4		1	5			1073				3				12				1										1			3									1					1							3		3	11	7	1	2				1						126		16			4		1	1	8		137		1				1										6										26				12	2										4		3												
14							2		3	3	6			1				5			18			2		3	3				2						2	33			1					1		1	599				7				9					1					1								2								1				1	2									4	7	3	2	2										107		36	1		1		3		2		131				8								1				12										5					1										4														
17							7		10		3		1					5			5	1			1	3			2		5							52						1				1	189				11				7					3								1	3			1	3															2					5		1	1	1		2		1		2						72		47			1		2		3		112					5	1										5															1												1												
5					1		12	2	13	2	4							7			1	1		3	1		4		2		8							68								2		1	133				7				1		1																								2		1	1				2					4		3	11	3												122		37			3		2		1		89						2										1										1				2													4												
14							5	9	30									4			5										2							58								1			77				11								2														3								1			2	5										3	10	5	2											90		44			2				2		63				5												4															4										1														
15							6	2	4	1	9							6			4								8		3							45								1			150				9				3					1								1	1				2													1									4	141	1				1								88					7		1				74															1	4										1				8											2		3												
3							3	1	4		3							3			1			1					4						2			47											118				12				4														1				1		1						1					1									1		3	1											76		109			2		2				52		1	1													5							1			1					1																								
8							2	3	5		1							12			3						3		2		4							63											94				13								1						1				1			1	1								4				1								3		2	2	6	2	3										123		115			6		1		2		100			2			1					1				2	6										2				1													6												
8							6	2	11		3							10			1			8							1							52							1	2			68				18				1				1																						2				2				1						2	2	5	5	1		1								278		55			3				4		88	1					1	1									2														1											3														
4							3	6	29		4							22								5	14				5							21											57				16				1																		10								2															7	2		3										110		33					7		1		1																6										2					2																								
2							1	8	44		6							22											1		4				1			21											147				20				2																														1	2							1			2	9						1						95		37			3				11		28			1			5										1														1	16															1									
4							4	16	14		6							25			3					2	2				1							27											43				32						1																1								11	1		2											2	6	3												42		27			3		2		3		73				5												2										9					12										2										1				
							1	29	18		8							13			1				1						2							37								1			183				9																		6																										1	1	4												92		53					1		3		47						1																				1				11	5															1									
6							1	25	38		10							14													1				1			31						1	1				102				4						1												1																	1							1		1		7												75		48			3				2	1	52					1	1										6															2															1									
13							1	9	23	2	6							6							1													15											94				1				1								1									2																						4	3		3	1											37		35			1				5		28																														1	4																								
10							4	5			5			2				18			16			4		3		1			4			1				23								1			184				5				3				1						1				1				3	2							1			1									2		1	23	3					1	1						117		57			1						121																3															1										1														
2							6	1			5							8			2			1	1				3		3				2			38						2					120				20				1													1	1				1																				2		2	15	3						1						217		94			2		2		2	1	166						2										3										1				1													4												
7							5		1	1	14							13			4				3	1					3							25											159		1		25			1	3					1									6			2														1		1		3			2			3	4	1											147		50			10		1				212						1	1								1											2				5										1			2												
6									2	1	6							13						2							3				1			24						7		1			107				2																		1				2								2				5										1		5		1										112		139			3		2		1		106																1										2		1			1															1									
7							2	3	1		5							20			1	1			1				2		3				3			48					1	2		1			168				7				1			1											4		1	3	4								1			1											3	5	5												168		95			1						104			1																											3													2												
5								1	1		6							9			5			3					1		3				2			24								2			105				8			1	5														2																1					1					1	2	4	1	1										175		132							1	1	82					1	2										1							1			1															1		1												
4		2					4	2	3	1	4		1					28			1	1							3		4							30											118				11			1	1																		1								1				1								4	1		3	10	1	1										302		105			3		1		2		170						1																				1				1	6										3		3			1									
4							1				15			1				15			13			3		2		1			1						1	22			1								141				12			1	3														1		1		2	1							1												2		1	9	6												340		85			2		6		2		199				3												1																									3														
12							4		8		8							11			5			6		3	1				4			3				10											20								2				3															3							4				4								7		4	20			8										211		51			2		2		3		113				7												1														2													1												
1							2	8	78		2							6			1			1							2						1	31						1					39				7								1										1					1							1	1			1				1						1	1	8												101		14		3	2			1	8		54																2										2				2	19																					1			
7							4		8	1	14							21										2	1			1					1	26								1			75				6				1														1				1																				1	1	1	3	9	2					1						210		91					2		5		82			1			1										3															4										2														
							1		2		8							13			1							1	1		1							8	1					3					170				3				1							1							1												1			1		1									1	1	11		1										196		122			2		1		13		193																1										1					6												2												
							7				9							4			2			1		1		1	1		1				1			14						4					117			1	13				1													1	1											1	1				1					1			2			1	28												217		117			2		1		4		245			1			2										3														5	1												2			2									
1							1	1			6							14			2							2	1		1							16							1				97				6			1	6		1	1											1					1							2													1	1	1	7	2	2										279		120					1		5	1	156						4									1	1							1							1	1												1			2									
9	1	1					5		1	1	9				2			22			5				1						3	3			1		1	47					1	1					132				4								2	1					1		1						7								3			1		1										2	8	1	1		1								127		53			1				1		121	1						2									3										2				17													3												
4							4	3	2	2	21							54		1	5			3	1		1	4	1		9				4		3	66								2			152				17		1		4				1				1		5				4		2	2	2	1							3					1				5			1	3	3	3	15		8								1		615		156		1	3		4		12		428										1					1	7										4				1	3									1			4												
16							1		3	3	10							9		1	8			2			2	3							2			36	1										70				2				2																		3												2	1							3			6	7	1	4										239		56					2		3		164			1													1														7	3												3												
7							2	1	9		4							17			1	1						1							1			46						2			1		89				1				2		1												1			1	1	1							1													1	3	3	12	1	1										218		78			5				15		115						1	1									2																																							
2									5		14							10				1		1				1	1		1							26											108				8				6								1					1	1	1			1							1	1				1											1	3	1											250		101			1		2		6	2	217															2	2							1								8																								
							4	1	4		16							20			3	1					1	3	1		1							26	1								1		97				9						1												1				4							1	1					2							3	2		2	11	2											326		89			1		2		12		246						6										2										1				1	1															2									
							6	2	5		18							16			3				1			1	1		3							14	2				1	2					162				5		1		1								1									1	2	1						2	2				2			1						2		3	26	1	2				1						649		101		1	6		2		13		353			1			2										2															2										1					1									
							2	1	2		12							26			10			2		1		3			5							4											83				13				3		1		1	2													3	1		1						1		2				1					4		1	3	30		3										394		59			6		1		11		358		2														6															1										4														
1					1		6		1		25							21										4			1				2			6					1	4					65				12				2										1							1	1								3				1								1				26		1										395		69		1	1		1		9		422						2										5										1				1											1		1			3									
							11		2		30							13			2						1		1		10							3						3		5			67				7			1	4										2								1												5					21			5	1	1	3	10	3	14										353		41		1	2				8		362						5										1														2			1										3						1						
							6	1	1		5						1	16	1			1		1				1			2							7								1			91				14						1													1										1			1										2				78	3	4										508		64		2	2				27		675						1																																			1														
1							17		2	2	24										1			1	1		2	1			2			2				7											67								4										2						2			1							1								1				2		1	4	33	3	9				9						270		41			5		5		14		627		2		3	1											2															1												10							1					
							8				5							13			3	1		1				1	2		1							3						1	1	2			127				8				2		1					1			1				1		2		2								1				1	2							2			1	52	7	3										641		78			6				23		653						5																								4	1															1									
							5		2	1	10							14						1							6				3			7						1		1			31				10														3				6			1	1	2							1				5					15			2				35	1	8										331		63		2	8				7		580						3																								1								1					2												
